transcriptID,geneID
YBR186W_mRNA,YBR186W
YBR187W_mRNA,YBR187W
YBR188C_mRNA,YBR188C
YBR189W_mRNA,YBR189W
YBR190W_mRNA,YBR190W
YBR191W_mRNA,YBR191W
YBR191W-A_mRNA,YBR191W-A
YBR192W_mRNA,YBR192W
YBR193C_mRNA,YBR193C
YBR194W_mRNA,YBR194W
YBR195C_mRNA,YBR195C
YBR196C_mRNA,YBR196C
YBR196C-A_mRNA,YBR196C-A
YBR196C-B_mRNA,YBR196C-B
YBR197C_mRNA,YBR197C
YBR198C_mRNA,YBR198C
YBR199W_mRNA,YBR199W
YBR200W_mRNA,YBR200W
YBR200W-A_mRNA,YBR200W-A
YBR201W_mRNA,YBR201W
YBR201C-A_mRNA,YBR201C-A
YBR202W_mRNA,YBR202W
YBR203W_mRNA,YBR203W
YBR204C_mRNA,YBR204C
YBR205W_mRNA,YBR205W
YBR206W_mRNA,YBR206W
YBR207W_mRNA,YBR207W
YBR208C_mRNA,YBR208C
YBR209W_mRNA,YBR209W
YBR210W_mRNA,YBR210W
YBR211C_mRNA,YBR211C
YBR212W_mRNA,YBR212W
YBR213W_mRNA,YBR213W
YBR214W_mRNA,YBR214W
YBR215W_mRNA,YBR215W
YBR216C_mRNA,YBR216C
YBR217W_mRNA,YBR217W
YBR218C_mRNA,YBR218C
YBR219C_mRNA,YBR219C
YBR220C_mRNA,YBR220C
YBR221C_mRNA,YBR221C
YBR221W-A_mRNA,YBR221W-A
YBR222C_mRNA,YBR222C
YBR223C_mRNA,YBR223C
YBR223W-A_mRNA,YBR223W-A
YBR224W_mRNA,YBR224W
YBR225W_mRNA,YBR225W
YBR226C_mRNA,YBR226C
YBR227C_mRNA,YBR227C
YBR228W_mRNA,YBR228W
YBR229C_mRNA,YBR229C
YBR230C_mRNA,YBR230C
YBR230W-A_mRNA,YBR230W-A
YBR231C_mRNA,YBR231C
YBR232C_mRNA,YBR232C
YBR233W_mRNA,YBR233W
YBR233W-A_mRNA,YBR233W-A
YBR234C_mRNA,YBR234C
YBR235W_mRNA,YBR235W
YBR236C_mRNA,YBR236C
YBR237W_mRNA,YBR237W
YBR238C_mRNA,YBR238C
YBR239C_mRNA,YBR239C
YBR240C_mRNA,YBR240C
YBR241C_mRNA,YBR241C
YBR242W_mRNA,YBR242W
YBR243C_mRNA,YBR243C
YBR244W_mRNA,YBR244W
YBR245C_mRNA,YBR245C
YBR246W_mRNA,YBR246W
YBR247C_mRNA,YBR247C
YBR248C_mRNA,YBR248C
YBR249C_mRNA,YBR249C
YBR250W_mRNA,YBR250W
YBR251W_mRNA,YBR251W
YBR252W_mRNA,YBR252W
YBR253W_mRNA,YBR253W
YBR254C_mRNA,YBR254C
YBR255W_mRNA,YBR255W
YBR255C-A_mRNA,YBR255C-A
YBR256C_mRNA,YBR256C
YBR257W_mRNA,YBR257W
YBR258C_mRNA,YBR258C
YBR259W_mRNA,YBR259W
YBR260C_mRNA,YBR260C
YBR261C_mRNA,YBR261C
YBR262C_mRNA,YBR262C
YBR263W_mRNA,YBR263W
YBR264C_mRNA,YBR264C
YBR265W_mRNA,YBR265W
YBR267W_mRNA,YBR267W
YBR266C_mRNA,YBR266C
YBR268W_mRNA,YBR268W
YBR269C_mRNA,YBR269C
YBR270C_mRNA,YBR270C
YBR271W_mRNA,YBR271W
YBR272C_mRNA,YBR272C
YBR273C_mRNA,YBR273C
YBR274W_mRNA,YBR274W
YBR275C_mRNA,YBR275C
YBR276C_mRNA,YBR276C
YBR277C_mRNA,YBR277C
YBR278W_mRNA,YBR278W
YBR279W_mRNA,YBR279W
